genre,token,positive_sample_count,affected_samples,mean_probability_delta,mean_abs_probability_delta,mean_logit_delta
Horror,is,64,20,-0.006793065182864666,0.015424159355461597,0.03276603370904922
Horror,in,71,26,-0.004005772563127371,0.01280157955793234,-0.023426888080743644
Horror,and,166,31,5.629202050547446e-05,0.03248591120204618,0.018838823803009525
Documentary,of,88,23,0.0935028239922679,0.09490783763644488,1.050553788309512
Documentary,the,163,26,0.07104347545940143,0.07373473062538184,0.7564833462238312
Documentary,his,43,11,-0.05565279789946296,0.06165624816309322,-0.47209650819951837
Documentary,and,86,20,0.023432810488156975,0.05144223843235522,0.4863506734371185
Documentary,that,20,12,0.013445406123840561,0.03086989021782453,0.11223546663920085
Documentary,in,49,18,0.012681347887135215,0.03424420430221491,0.1594330138630337
Documentary,he,26,6,0.010434549301862717,0.03148869797587395,0.11752167344093323
Documentary,for,18,11,-0.00985855933024802,0.01472678524442017,0.05722563375126232
Documentary,on,19,14,-0.002897302753158978,0.03315369811441217,0.06304767302104405
Documentary,to,55,16,0.0018794189963955432,0.022458599152741954,0.008739307522773743
Mystery,her,38,12,0.053286490069391824,0.056670682854019105,0.39152825127045315
Mystery,and,117,28,-0.04458516944266323,0.05215645450100835,-0.22938646056822368
Mystery,to,119,31,-0.01694870436744344,0.04081961864064778,-0.0874756017038899
Mystery,that,43,18,0.015358882956206799,0.028012803341779444,0.09054767257637447
Mystery,he,38,16,-0.01279991352930665,0.019593582022935152,-0.06625923840329051
Mystery,his,62,23,-0.01028634091515256,0.02661437899603144,-0.048446720061094864
Mystery,in,76,27,0.0035030629002937566,0.03515847382584104,0.02852205656192921
Mystery,the,249,32,-0.001573183442815207,0.045834737495169975,-0.015519832260906696
Mystery,is,65,26,0.0015041879915560668,0.01887208282446059,0.034975966868492275
Mystery,of,96,29,-0.0008620471886262812,0.038220434979503524,-0.05041954435151199
